timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,tempMPU,IR,Red,BPM,DS1
4190627870,172,660,16064,-316,-9,-238,36.44,585,268,0.00,32.25
4191252906,160,616,16244,-330,-21,-235,36.39,534,128,0.00,32.25
4191286156,228,628,16036,-306,-20,-224,36.34,574,106,0.00,32.31
4191911193,144,684,16160,-303,-32,-200,36.39,155,1327,0.39,32.31
4191945692,148,532,16092,-313,-27,-212,36.48,140,1486,0.00,32.31
4192570724,208,656,16004,-329,-45,-216,36.39,464,1908,0.00,32.31
4192604000,156,632,16196,-301,-14,-227,36.39,701,1858,0.00,32.31
4193229055,208,780,16036,-318,-21,-226,36.39,1477,592,0.00,32.31
4193262304,204,656,16156,-287,-20,-216,36.39,1605,577,0.00,32.25
4193887351,256,720,16104,-296,-36,-231,36.34,644,582,0.51,32.25
4193921823,236,656,16156,-279,-31,-220,36.39,607,588,0.00,32.25
4194546867,284,676,16016,-311,-20,-206,36.39,547,228,0.00,32.25
4194580131,284,740,16180,-334,-20,-239,36.39,590,235,0.00,32.25
4195205169,192,700,16044,-294,-21,-212,36.39,455,70,0.76,32.25
4195239639,252,668,16104,-278,-22,-217,36.34,344,71,0.00,32.25
4195864688,196,636,16164,-297,-20,-233,36.29,135,1756,0.00,32.25
4195897943,292,668,16268,-325,-32,-228,36.39,140,1703,0.00,32.25
4196522986,128,596,16112,-283,-18,-214,36.29,1271,1205,0.00,32.25
4196556233,156,584,16268,-298,-31,-208,36.34,1456,1008,0.00,32.31
4197181275,272,628,16004,-314,-17,-242,36.39,1852,577,0.00,32.31
4197215753,216,668,16212,-292,-2,-243,36.34,1753,587,0.50,32.25
4197840811,284,672,16132,-297,-30,-213,36.44,576,589,0.00,32.25
4197874071,228,700,15984,-300,-29,-203,36.34,607,594,0.00,32.31
4198499100,256,536,16088,-286,-32,-227,36.29,541,169,0.78,32.31
4198533561,212,680,16036,-334,-30,-210,36.29,574,159,0.00,32.31
4199158605,240,596,16044,-310,-8,-211,36.34,204,477,1.52,32.31
4199191860,256,724,16180,-320,-9,-215,36.34,214,734,0.00,32.25
4199816904,160,680,16168,-285,-17,-228,36.39,75,1597,1.52,32.25
4199850170,208,572,16120,-313,-31,-193,36.39,124,1702,0.00,32.25
4200475228,184,700,16012,-291,-25,-227,36.44,1537,581,0.00,32.25
4200509684,192,632,16140,-294,-33,-234,36.34,1527,570,1.43,32.31
4201134740,188,700,16020,-307,-34,-207,36.39,627,642,0.00,32.31
4201168008,240,664,16132,-316,-6,-237,36.39,640,604,0.00,32.25
4201793051,236,596,16232,-305,-46,-212,36.39,511,227,0.78,32.25
4201826303,280,688,16116,-305,-21,-221,36.39,580,207,0.00,32.25
4202451338,332,716,16084,-312,-21,-206,36.29,246,94,1.52,32.25
4202485799,240,720,15996,-331,-12,-218,36.29,222,115,0.00,32.25
4203110861,212,736,16116,-291,-22,-212,36.34,89,1620,0.00,32.25
4203144108,212,724,16068,-288,-2,-237,36.29,105,1573,0.00,32.25
4203769140,216,632,16140,-309,-21,-211,36.39,1591,635,0.00,32.25
4203802389,260,656,16208,-307,-10,-188,36.25,1610,593,0.00,32.25
4204427425,128,672,15988,-315,-37,-233,36.44,757,591,0.51,32.25
4204461897,336,704,16256,-302,-13,-207,36.34,665,583,0.00,32.25
4205086953,244,640,15888,-316,-45,-229,36.34,552,243,0.00,32.25
4205120209,252,680,16044,-311,-18,-225,36.34,595,233,0.00,32.31
4205745234,308,656,16184,-328,-34,-220,36.25,356,70,0.76,32.31
4205779692,228,664,16184,-323,-33,-236,36.29,238,78,0.00,32.25
4206404728,192,620,16116,-293,-21,-239,36.25,94,1690,0.00,32.25
4206437973,212,532,16036,-299,-52,-202,36.29,106,1636,0.00,32.25
4207063017,228,672,15996,-294,-40,-222,36.29,1664,667,0.00,32.25
4207096282,328,700,16024,-326,-27,-198,36.20,1662,641,0.74,32.25
4207721332,228,656,16072,-315,-9,-226,36.11,994,556,0.00,32.25
4207755789,256,620,16104,-308,-22,-224,36.20,814,560,0.00,32.25
4208380831,240,660,16016,-315,-9,-233,36.29,580,463,0.00,32.25
4208414079,184,644,16084,-308,-19,-228,36.25,618,332,0.00,32.25
4209039139,168,620,16088,-270,-20,-213,36.25,508,124,0.52,32.25
4209072417,224,688,16076,-296,-30,-214,36.25,569,102,0.00,32.25
4209697466,148,588,16088,-300,-23,-231,36.29,156,1584,1.52,32.25
4209731936,300,616,16120,-306,-13,-235,36.25,124,1670,0.00,32.25
4210356999,316,600,16132,-308,-17,-231,36.25,1214,1389,0.00,32.25
4210390258,260,604,16132,-294,-5,-217,36.29,1382,1173,0.00,32.25
4211015300,188,600,15972,-310,-10,-241,36.20,1795,570,0.00,32.25
4211048547,264,700,16036,-320,-28,-223,36.25,1748,550,0.74,32.25
